instance,n,axis,cell,strategy,balance_arm,span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n200,200,config,actual,spatial_term,actual,0,False,0.0,59.0,3,4,0,8254,0.832,617,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.009,0.025,0.06,119.939,0.001
battery-n200,200,config,actual+reseq,spatial_term,actual,0,True,0.0,59.0,1,4,0,7247,0.824,601,8,0.13,15.75,0.232,0.723,0.556,3769,4800,120.13,0.01,0.028,0.062,119.937,0.001
battery-n200,200,config,actual+reseq,spatial_term,actual,0,True,0.0,59.0,2,4,0,7247,0.824,601,8,0.13,15.75,0.232,0.723,0.556,3769,4800,120.09,0.009,0.025,0.06,119.94,0.001
battery-n200,200,config,actual+reseq,spatial_term,actual,0,True,0.0,59.0,3,4,0,7247,0.824,601,8,0.13,15.75,0.232,0.723,0.556,3769,4800,120.11,0.009,0.026,0.061,119.959,0.001
battery-n200,200,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,59.0,1,4,0,12024,0.99,38,4,0.65,75.0,0.334,0.834,0.556,8546,4800,120.14,0.01,0.028,0.063,119.936,0.001
battery-n200,200,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,59.0,2,4,0,12024,0.99,38,4,0.65,75.0,0.334,0.834,0.556,8546,4800,120.08,0.009,0.025,0.061,119.939,0.001
battery-n200,200,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,59.0,3,4,0,12024,0.99,38,4,0.65,75.0,0.334,0.834,0.556,8546,4800,120.09,0.009,0.025,0.06,119.94,0.001
battery-n200,200,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,59.0,1,4,0,10536,0.943,192,5,0.65,75.0,0.305,0.799,0.556,7058,4800,120.13,0.01,0.029,0.065,119.934,0.001
battery-n200,200,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,59.0,2,4,0,10536,0.943,192,5,0.65,75.0,0.305,0.799,0.556,7058,4800,120.07,0.009,0.026,0.064,119.923,0.001
battery-n200,200,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,59.0,3,4,0,10536,0.943,192,5,0.65,75.0,0.305,0.799,0.556,7058,4800,120.08,0.009,0.026,0.063,119.936,0.001
