instance,n,axis,cell,strategy,balance_arm,span_coef,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n800,800,config,service-floor,spatial_term,service-floor,0,1,15,0,22116,0.443,1174,8,0.399,51.33,0.187,0.729,0.593,13188,12600,120.74,0.148,0.417,0.72,119.281,0.003
battery-n800,800,config,service-floor,spatial_term,service-floor,0,2,15,0,22116,0.443,1174,8,0.399,51.33,0.187,0.729,0.593,13188,12600,120.89,0.147,0.55,0.724,119.278,0.003
battery-n800,800,config,service-floor,spatial_term,service-floor,0,3,15,0,22116,0.443,1174,8,0.399,51.33,0.187,0.729,0.593,13188,12600,120.74,0.146,0.429,0.703,119.298,0.003
battery-n800,800,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,1,14,0,25532,0.726,1037,90,0.612,102.79,0.21,0.804,0.635,16592,8520,120.82,0.148,0.474,0.713,119.29,0.003
battery-n800,800,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,2,14,0,25532,0.726,1037,90,0.612,102.79,0.21,0.804,0.635,16592,8520,120.75,0.146,0.426,0.734,119.275,0.003
battery-n800,800,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,3,14,0,25608,0.726,1113,87,0.612,108.0,0.211,0.804,0.635,16668,9000,120.79,0.146,0.453,0.747,119.257,0.003
battery-n800,800,config,span-c100,spatial_term,actual,100,1,12,0,20111,0.855,572,24,0.694,72.75,0.173,0.896,0.741,11148,720,120.79,0.146,0.453,1.049,118.953,0.003
battery-n800,800,config,span-c100,spatial_term,actual,100,2,12,0,20111,0.855,572,24,0.694,72.75,0.173,0.896,0.741,11148,720,120.82,0.146,0.498,1.035,118.967,0.003
battery-n800,800,config,span-c100,spatial_term,actual,100,3,12,0,20111,0.855,559,25,0.694,72.67,0.173,0.896,0.741,11148,480,120.77,0.148,0.416,1.025,118.978,0.003
battery-n800,800,algo,global,global,actual,0,1,12,0,20330,0.844,594,39,0.38,107.75,0.175,0.897,0.741,11367,0,120.33,0.151,0.002,0.419,119.582,0.003
battery-n800,800,algo,global,global,actual,0,2,12,0,20324,0.844,595,39,0.38,107.75,0.175,0.898,0.741,11361,0,120.34,0.148,0.002,0.392,119.609,0.003
battery-n800,800,algo,global,global,actual,0,3,12,0,20330,0.844,594,39,0.38,107.75,0.175,0.897,0.741,11367,0,120.32,0.147,0.002,0.408,119.593,0.003
battery-n800,800,algo,greedy,greedy,actual,0,1,12,0,23728,0.178,2432,67,0.65,105.83,0.198,0.924,0.741,14765,7920,0.08,0.0,0.0,0.0,0.0,0.0
battery-n800,800,algo,greedy,greedy,actual,0,2,12,0,23728,0.178,2432,67,0.65,105.83,0.198,0.924,0.741,14765,7920,0.07,0.0,0.0,0.0,0.0,0.0
battery-n800,800,algo,greedy,greedy,actual,0,3,12,0,23728,0.178,2432,67,0.65,105.83,0.198,0.924,0.741,14765,7920,0.07,0.0,0.0,0.0,0.0,0.0
battery-n1000,1000,config,actual,spatial_term,actual,0,1,15,0,26579,0.852,482,57,0.321,82.07,0.181,0.905,0.741,15627,1560,121.13,0.241,0.657,1.069,118.935,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,2,15,0,26657,0.836,561,56,0.477,81.27,0.182,0.905,0.741,15705,1560,121.3,0.231,0.818,1.132,118.873,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,15,0,26613,0.838,502,57,0.576,82.4,0.182,0.905,0.741,15661,1560,121.3,0.232,0.822,1.102,118.901,0.004
battery-n1000,1000,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,1,15,0,28670,0.842,633,5,0.355,66.53,0.193,0.918,0.741,17718,1800,121.12,0.23,0.666,1.095,118.909,0.004
battery-n1000,1000,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,2,15,0,28670,0.842,633,5,0.355,66.53,0.193,0.918,0.741,17718,1800,121.23,0.23,0.757,1.128,118.876,0.004
battery-n1000,1000,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,3,15,0,28670,0.842,633,5,0.355,66.53,0.193,0.918,0.741,17718,1800,121.12,0.231,0.645,1.11,118.893,0.004
battery-n1000,1000,config,tmin-scaled,spatial_term,tmin-scaled,0,1,16,0,28737,0.73,983,61,0.802,117.25,0.193,0.861,0.694,17796,5400,121.14,0.232,0.665,1.081,118.922,0.004
battery-n1000,1000,config,tmin-scaled,spatial_term,tmin-scaled,0,2,16,0,29444,0.733,1011,70,0.636,113.88,0.197,0.865,0.694,18503,6600,121.3,0.232,0.854,1.148,118.854,0.004
battery-n1000,1000,config,tmin-scaled,spatial_term,tmin-scaled,0,3,16,0,28750,0.733,976,63,0.804,117.12,0.193,0.861,0.694,17809,5280,121.14,0.231,0.664,1.072,118.935,0.004
battery-n1000,1000,config,service-floor,spatial_term,service-floor,0,1,19,0,25569,0.523,1035,8,0.288,29.84,0.176,0.709,0.585,14662,17520,121.15,0.23,0.684,1.089,118.914,0.004
battery-n1000,1000,config,service-floor,spatial_term,service-floor,0,2,19,0,25574,0.523,1031,8,0.288,30.42,0.176,0.71,0.585,14667,17520,121.34,0.233,0.899,1.136,118.867,0.004
battery-n1000,1000,config,service-floor,spatial_term,service-floor,0,3,19,0,25528,0.523,1059,9,0.288,29.84,0.175,0.709,0.585,14621,17520,121.3,0.231,0.831,1.098,118.904,0.004
battery-n1000,1000,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,1,16,0,29444,0.733,1011,70,0.636,113.88,0.197,0.865,0.694,18503,6600,121.24,0.23,0.757,1.159,118.845,0.004
