instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-sparse-n250,250,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,85.8,1,,,,,1,1,per-start,120,6,0,0,0,15461,0.81,0.84,619,6835,7375,8434,7,3,0.42,17.67,0.34,0.702,0.463,7085,10927,4534,13200,120.2,0.015,0.042,0.092,119.911,0.002,0.0
battery-sparse-n250,250,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,85.8,1,,,,,2,1,per-start,120,6,0,0,0,14665,0.846,0.86,528,6947,7141,8213,5,4,0.32,8.5,0.328,0.689,0.463,6289,10927,3738,13200,120.16,0.023,0.041,0.091,119.912,0.002,0.0
battery-sparse-n250,250,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,85.8,1,,,,,3,1,per-start,120,6,0,0,0,15437,0.847,0.859,442,7191,7368,8491,11,6,0.29,23.33,0.34,0.701,0.463,7061,10927,4510,13200,120.2,0.02,0.041,0.087,119.895,0.002,0.0
battery-sparse-n500,500,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,15,,,0,0,True,0.0,56.9,1,,,,,1,1,per-start,120,8,0,0,0,18842,0.849,0.85,601,9079,9867,10697,10,4,0.42,43.38,0.239,0.912,0.694,9380,13517,5325,1200,120.43,0.082,0.172,0.361,119.63,0.004,0.0
battery-sparse-n500,500,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,15,,,0,0,True,0.0,56.9,1,,,,,2,1,per-start,120,9,0,0,0,21707,0.896,0.903,298,8878,8979,9908,14,2,0.57,74.89,0.266,0.84,0.617,12265,13401,8306,5640,120.67,0.077,0.162,0.31,119.693,0.008,0.0
battery-sparse-n500,500,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,15,,,0,0,True,0.0,56.9,1,,,,,3,1,per-start,120,9,0,0,0,21479,0.97,0.98,68,8934,9038,9206,15,6,0.71,95.67,0.264,0.838,0.617,12037,13401,8078,4920,120.47,0.071,0.16,0.315,119.692,0.004,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,1,1,per-start,120,3,0,0,0,4999,0.904,0.974,336,7488,8068,8283,2,4,0.23,13.67,0.21,0.736,0.581,2616,3618,1381,2760,120.14,0.006,0.017,0.045,119.956,0.001,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,2,1,per-start,120,3,0,0,0,4461,0.784,0.836,819,6974,7432,8895,2,5,0.11,5.67,0.191,0.719,0.581,2078,3618,843,2760,120.13,0.007,0.018,0.047,119.958,0.002,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,3,1,per-start,120,3,0,0,0,5092,0.877,0.964,436,7387,8119,8426,4,5,0.04,6.67,0.213,0.739,0.581,2709,3618,1474,2760,120.3,0.01,0.019,0.046,119.954,0.002,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,1,1,per-start,120,2,0,0,0,2790,0.91,1.0,268,5447,5715,5983,5,5,0.75,26.5,0.244,0.529,0.4,2259,914,1876,5760,120.1,0.002,0.009,0.023,119.98,0.002,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,2,1,per-start,120,2,0,0,0,2390,0.827,1.0,521,4994,5515,6036,3,3,0.54,22.0,0.217,0.511,0.4,1859,914,1476,5760,120.18,0.003,0.007,0.019,119.984,0.003,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,3,1,per-start,120,2,0,0,0,2302,0.748,1.0,788,4683,5471,6259,4,4,0.41,15.5,0.21,0.507,0.4,1771,914,1388,5760,120.1,0.003,0.007,0.017,119.995,0.002,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,1,1,per-start,94,1,0,0,0,997,1.0,1.0,0,6157,6157,6157,3,1,0.0,0.0,0.162,0.57,0.478,609,789,208,2040,94.14,0.001,0.003,0.008,93.993,0.002,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,2,1,per-start,94,1,0,0,0,1069,1.0,1.0,0,6229,6229,6229,3,2,0.0,0.0,0.172,0.577,0.478,681,789,280,2040,94.1,0.016,0.005,0.014,93.986,0.009,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,3,1,per-start,94,1,0,0,0,1032,1.0,1.0,0,6192,6192,6192,7,1,0.0,0.0,0.167,0.573,0.478,644,789,243,2040,94.07,0.001,0.003,0.009,93.991,0.005,0.0
reference-n1607,1607,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,36,,,0,0,True,0.0,44.1,1,,,,,1,1,per-start,120,25,0,0,0,58666,0.824,0.831,542,8876,10166,10766,39,31,0.39,113.64,0.233,0.931,0.714,31610,30823,27843,11400,125.6,0.667,1.875,2.895,117.159,0.235,0.0
reference-n1607,1607,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,36,,,0,0,True,0.0,44.1,1,,,,,2,1,per-start,120,25,0,0,0,60585,0.846,0.858,562,9088,10217,10748,75,41,0.41,92.88,0.239,0.939,0.714,33529,30823,29762,9360,125.37,2.556,1.828,3.201,116.808,0.012,0.0
