source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec,ub_k_sec,relleno_ub_sec
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n400,400,no-floor-stops10,3,6,13451,7919,7477,5974,10303,3148
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n400,400,no-floor-stops10,4,6,12548,7016,7477,5071,10303,2245
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n400,400,no-floor-stops10,5,6,12757,7225,7477,5280,10303,2454
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n800,800,no-floor-stops10,1,12,20734,11771,12392,8342,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n800,800,no-floor-stops10,2,12,21497,12534,12392,9105,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n800,800,no-floor-stops10,3,12,21573,12610,12392,9181,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n800,800,no-floor-stops10,4,12,22554,13591,12392,10162,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n800,800,no-floor-stops10,5,12,23528,14565,12392,11136,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n1000,1000,no-floor-stops10,1,15,26950,15998,15438,11512,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n1000,1000,no-floor-stops10,2,14,27978,17015,15529,12449,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n1000,1000,no-floor-stops10,3,15,27009,16057,15438,11571,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n1000,1000,no-floor-stops10,4,15,26585,15633,15438,11147,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n1000,1000,no-floor-stops10,5,14,27591,16628,15529,12062,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n250,250,no-floor-stops10,1,5,15812,7402,11132,4680,13901,1911
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n250,250,no-floor-stops10,2,5,15212,6802,11132,4080,13901,1311
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n250,250,no-floor-stops10,3,5,15333,6923,11132,4201,13901,1432
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n250,250,no-floor-stops10,4,5,15361,6951,11132,4229,13901,1460
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n250,250,no-floor-stops10,5,5,15232,6822,11132,4100,13901,1331
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n500,500,no-floor-stops10,1,8,22495,13033,13517,8978,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n500,500,no-floor-stops10,2,8,22447,12985,13517,8930,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n500,500,no-floor-stops10,3,8,20648,11186,13517,7131,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n500,500,no-floor-stops10,4,8,21832,12370,13517,8315,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-sparse-n500,500,no-floor-stops10,5,8,22354,12892,13517,8837,,
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-26-n157,157,no-floor-stops10,1,3,4491,2108,3618,873,4290,201
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-26-n157,157,no-floor-stops10,2,3,4246,1863,3618,628,4290,-44
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-26-n157,157,no-floor-stops10,3,3,4375,1992,3618,757,4290,85
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-26-n157,157,no-floor-stops10,4,3,4413,2030,3618,795,4290,123
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-26-n157,157,no-floor-stops10,5,3,4443,2060,3618,825,4290,153
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-27-n72,72,no-floor-stops10,1,1,1504,965,1303,201,1425,79
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-27-n72,72,no-floor-stops10,2,1,1504,965,1303,201,1425,79
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-27-n72,72,no-floor-stops10,3,1,1502,963,1303,199,1425,77
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-27-n72,72,no-floor-stops10,4,1,1502,963,1303,199,1425,77
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-27-n72,72,no-floor-stops10,5,1,1481,942,1303,178,1425,56
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-29-n43,43,no-floor-stops10,1,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-29-n43,43,no-floor-stops10,2,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-29-n43,43,no-floor-stops10,3,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-29-n43,43,no-floor-stops10,4,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-no-floor-stops10.csv,area-29-n43,43,no-floor-stops10,5,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-no-floor-stops10.csv,reference-n1607,1607,no-floor-stops10,1,25,55954,28898,30823,25131,39695,16259
sweep-metrology-20260720-h2h-no-floor-stops10.csv,reference-n1607,1607,no-floor-stops10,2,25,55592,28536,30823,24769,39695,15897
sweep-metrology-20260720-h2h-no-floor-stops10.csv,reference-n1607,1607,no-floor-stops10,3,25,62949,35893,30823,32126,39695,23254
sweep-metrology-20260720-h2h-no-floor-stops10.csv,reference-n1607,1607,no-floor-stops10,4,25,61881,34825,30823,31058,39695,22186
sweep-metrology-20260720-h2h-no-floor-stops10.csv,reference-n1607,1607,no-floor-stops10,5,25,54641,27585,30823,23818,39695,14946
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n50,50,feasible-floor-b060-stops10,1,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n50,50,feasible-floor-b060-stops10,2,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n50,50,feasible-floor-b060-stops10,3,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n50,50,feasible-floor-b060-stops10,4,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n50,50,feasible-floor-b060-stops10,5,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n100,100,feasible-floor-b060-stops10,1,2,4291,1831,2601,1690,3239,1052
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n100,100,feasible-floor-b060-stops10,2,2,4315,1855,2601,1714,3239,1076
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n100,100,feasible-floor-b060-stops10,3,2,4259,1799,2601,1658,3239,1020
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n100,100,feasible-floor-b060-stops10,4,2,4173,1713,2601,1572,3239,934
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n100,100,feasible-floor-b060-stops10,5,2,4174,1714,2601,1573,3239,935
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n200,200,feasible-floor-b060-stops10,1,4,8124,4646,4541,3583,6202,1922
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n200,200,feasible-floor-b060-stops10,2,4,7698,4220,4541,3157,6202,1496
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n200,200,feasible-floor-b060-stops10,3,4,7969,4491,4541,3428,6202,1767
