source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,upper-tmax-tmin9000,3,3,8140,5757,3618,4522
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,tmin-scaled,1,4,4898,2530,3406,1492
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,tmin-scaled,2,4,4898,2530,3406,1492
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,tmin-scaled,3,4,4898,2530,3406,1492
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,service-floor,1,3,4391,2008,3618,773
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,service-floor,2,3,4391,2008,3618,773
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,service-floor,3,3,4391,2008,3618,773
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,tmin-scaled+exempt-last,1,4,4898,2530,3406,1492
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,tmin-scaled+exempt-last,2,4,4898,2530,3406,1492
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,tmin-scaled+exempt-last,3,4,4898,2530,3406,1492
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,span-c100,1,3,4614,2231,3618,996
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,span-c100,2,3,4614,2231,3618,996
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,span-c100,3,3,4614,2231,3618,996
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,global,1,3,4642,2259,3618,1024
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,global,2,3,4642,2259,3618,1024
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,global,3,3,4642,2259,3618,1024
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,greedy,1,3,5900,3517,3618,2282
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,greedy,2,3,5900,3517,3618,2282
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,greedy,3,3,5900,3517,3618,2282
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,actual,1,2,5738,5207,914,4824
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,actual,2,2,5738,5207,914,4824
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,actual,3,2,5738,5207,914,4824
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,upper-tmax-tmin9000,1,2,9332,8801,914,8418
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,upper-tmax-tmin9000,2,2,9332,8801,914,8418
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,upper-tmax-tmin9000,3,2,9332,8801,914,8418
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,tmin-scaled,1,2,1045,514,914,131
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,tmin-scaled,2,2,1045,514,914,131
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,tmin-scaled,3,2,1045,514,914,131
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,service-floor,1,2,1039,508,914,125
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,service-floor,2,2,1039,508,914,125
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,service-floor,3,2,1039,508,914,125
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,tmin-scaled+exempt-last,1,2,1045,514,914,131
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,tmin-scaled+exempt-last,2,2,1045,514,914,131
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,tmin-scaled+exempt-last,3,2,1045,514,914,131
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,span-c100,1,2,5738,5207,914,4824
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,span-c100,2,2,5738,5207,914,4824
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,span-c100,3,2,5738,5207,914,4824
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,global,1,2,5738,5207,914,4824
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,global,2,2,5738,5207,914,4824
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,global,3,2,5738,5207,914,4824
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,greedy,1,1,2024,1485,1303,721
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,greedy,2,1,2024,1485,1303,721
route-config-algorithm-sweep-20260718.csv,area-27-n72,72,greedy,3,1,2024,1485,1303,721
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,actual,1,1,2022,1634,789,1233
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,actual,2,1,2022,1634,789,1233
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,actual,3,1,2022,1634,789,1233
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,upper-tmax-tmin9000,1,1,3821,3433,789,3032
